"","ID","Bar.Code","Item","Make","Model","Serial.Number","Description","Calibration.Date","Calibration.Equipment","Location","Responsible.Lab","Funding.Source","Project","Other.ID","Notes","Status","Cal.Report.Y.N","Picture","Picture.URL","Old.Asset.Number","OU.Asset","Asset.Type","Specification.Characteristics","Calilbration.Date","Maintenance.Date","Picture.Yes.No","Project.Equipment..Yes.No.","Class"
"27","L######","`F-00027~","F-00027","Schweitzer Engineering Laboratories","SEL-411L","1142970171","Protection Automation Control","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00027, SEL, SEL-411L, 1142970171, Protection Automation Control.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"28","L######","`F-00028~","F-00028","Schweitzer Engineering Laboratories","SEL-3373","1152870426","Station Phasor Data Concentrator","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00028, SEL, SEL-3373, 1152870426, Station Phasor Data Concentrator.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"29","L######","`F-00029~","F-00029","Schweitzer Engineering Laboratories","SEL-311C","1152920109","Transmission Protection System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00029, SEL, SEL-311C, 1152920109, Trnasmission Protection System.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"30","L######","`F-00030~","F-00030","Schweitzer Engineering Laboratories","SEL-311C","1152920108","Transmission Protection System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00030, SEL, SEL-311C, 1152920108, Transmission Protection System.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"31","L######","`F-00031~","F-00031","Schweitzer Engineering Laboratories","SEL-2407","1142970157","Satellite Synchronized Clock","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00031, SEL, SEL-2407, 1142970157, Satellite Synchronized Clock.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"32","L######","`F-00032~","F-00032","Schweitzer Engineering Laboratories","SEL-2407","1142970158","Satellite Synchronized Clock","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00032, SEL, SEL-2407, 1142970158, Satellite Synchronized Clock.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"33","L######","`F-00033~","F-00033","Schweitzer Engineering Laboratories","SEL-3094","1152920421       1152920422","Interface Converter","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00033, SEL, SEL-3094, 1152920421 & 1152920422, Interface Converter.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"34","L######","`F-00034~","F-00034","Schweitzer Engineering Laboratories","SEL-3094","1152920423       11531100436","Interface Converter","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00034, SEL, SEL-3094, 1152920423 & 11531100436, Interface Converter.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"35","L######","`F-00035~","F-00035","Schweitzer Engineering Laboratories","SEL-352","1152890217","Breaker failure Relay Closing Control Relay Data Recorder","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00035.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"36","L######","`F-00036~","F-00036","Schweitzer Engineering Laboratories","SEL-9330-A                    SEL-2730M","1152920472","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00036.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"37","L######","`F-00037~","F-00037","Schweitzer Engineering Laboratories","SEL-3390-A           SEL-2730M","1152920477","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00037.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"38","L######","`F-00038~","F-00038","Schweitzer Engineering Laboratories","SEL-3390-A           SEL-2730M","1152920476","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00038.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"39","L######","`F-00039~","F-00039","Schweitzer Engineering Laboratories","SEL-3390-A           SEL-2730M","1152920473","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00039.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
